¦signature
¦apoc.cypher.doIt(cypher :: STRING?, params :: MAP?) :: (value :: MAP?)
¦apoc.cypher.run(cypher :: STRING?, params :: MAP?) :: (value :: MAP?)
¦apoc.cypher.runMany(cypher :: STRING?, params :: MAP?, config = {} :: MAP?) :: (row :: INTEGER?, result :: MAP?)
¦apoc.cypher.runManyReadOnly(cypher :: STRING?, params :: MAP?, config = {} :: MAP?) :: (row :: INTEGER?, result :: MAP?)
¦apoc.cypher.runSchema(cypher :: STRING?, params :: MAP?) :: (value :: MAP?)
¦apoc.cypher.runTimeboxed(cypher :: STRING?, params :: MAP?, timeout :: INTEGER?) :: (value :: MAP?)
¦apoc.cypher.runWrite(cypher :: STRING?, params :: MAP?) :: (value :: MAP?)
¦apoc.cypher.runFirstColumn(cypher :: STRING?, params :: MAP?, expectMultipleValues = true :: BOOLEAN?) :: (ANY?)
¦apoc.cypher.runFirstColumnMany(cypher :: STRING?, params :: MAP?) :: (LIST? OF ANY?)
¦apoc.cypher.runFirstColumnSingle(cypher :: STRING?, params :: MAP?) :: (ANY?)
